ausschuss_id,name
a11,Ausschuss für Arbeit und Soziales
a03,Auswärtiger Ausschuss
a18,"Ausschuss für Bildung, Forschung und Technikfolgenabschätzung"
a23,Ausschuss für Digitales
a10,Ausschuss für Ernährung und Landwirtschaft
a21,Ausschuss für die Angelegenheiten der Europäischen Union
a13,"Ausschuss für Familie, Senioren, Frauen und Jugend"
a07,Finanzausschuss
a14,Ausschuss für Gesundheit
a08,Haushaltsausschuss
a04,Ausschuss für Inneres und Heimat
a25,Ausschuss für Klimaschutz und Energie
a22,Ausschuss für Kultur und Medien
a17,Ausschuss für Menschenrechte und humanitäre Hilfe
a02,Petitionsausschuss
a06,Rechtsausschuss
a05,Sportausschuss
a20,Ausschuss für Tourismus
a16,"Ausschuss für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz"
a15,Verkehrsausschuss
a12,Verteidigungsausschuss
a01,"Ausschuss für Wahlprüfung, Immunität und Geschäftsordnung"
a09,Wirtschaftsausschuss
a19,Ausschuss für wirtschaftliche Zusammenarbeit und Entwicklung
a24,"Ausschuss für Wohnen, Stadtentwicklung, Bauwesen und Kommunen"
ua01,1. Untersuchungsausschuss
ee01,Enquete-Kommission „Lehren aus Afghanistan für das künftige vernetzte Engagement Deutschlands“
